departure_time,departure_point
04/01/2016 08:00,TUN
04/01/2016 08:00,TUN
04/01/2016 08:15,TUN
04/01/2016 08:20,TUN
04/01/2016 08:30,ORY
04/01/2016 09:45,NAP
04/01/2016 09:50,BCN
04/01/2016 09:55,LYS
04/01/2016 10:00,VCE
04/01/2016 10:05,FCO
04/01/2016 10:15,GVA
04/01/2016 10:15,MXP
04/01/2016 10:15,NCE
04/01/2016 10:30,CMN
04/01/2016 10:30,FRA
04/01/2016 10:35,ORY
04/01/2016 10:40,LGW
04/01/2016 10:50,LYS
04/01/2016 10:50,MUC
04/01/2016 10:55,TLS
04/01/2016 11:25,ORY
04/01/2016 11:35,BRU
04/01/2016 11:35,TUN
04/01/2016 11:55,DUS
04/01/2016 12:30,TUN
04/01/2016 13:00,TUN
04/01/2016 13:15,TUN
04/01/2016 13:20,MIR
04/01/2016 13:35,TUN
04/01/2016 13:45,TUN
04/01/2016 14:00,TUN
04/01/2016 14:00,TUN
04/01/2016 14:15,DJE
04/01/2016 14:15,TUN
04/01/2016 14:30,TUN
04/01/2016 14:55,ORY
04/01/2016 15:05,MXP
04/01/2016 15:10,TUN
04/01/2016 15:20,TUN
04/01/2016 15:25,BLQ
04/01/2016 15:30,DJE
04/01/2016 15:35,TUN
04/01/2016 15:50,MRS
04/01/2016 15:55,NCE
04/01/2016 16:00,TUN
04/01/2016 17:00,ALG
04/01/2016 17:00,BOD
04/01/2016 17:15,LYS
04/01/2016 17:15,TUN
04/01/2016 17:20,LIS
04/01/2016 17:25,MAD
04/01/2016 17:55,CAI
04/01/2016 18:00,MRS
04/01/2016 18:30,ORY
04/01/2016 18:30,SXB
04/01/2016 18:30,TUN
04/01/2016 19:00,DJE
04/01/2016 19:40,TUN
04/01/2016 20:00,TUN
04/01/2016 20:10,IST
04/01/2016 21:00,DJE
04/01/2016 21:00,DJE
04/01/2016 21:00,MIR
04/01/2016 21:30,TUN
04/01/2016 22:00,TUN
04/01/2016 22:00,TUN
04/01/2016 22:00,TUN
04/01/2016 22:00,TUN
05/01/2016 01:25,MED
05/01/2016 06:10,TUN
05/01/2016 06:15,TUN
05/01/2016 07:05,TUN
05/01/2016 07:05,TUN
05/01/2016 07:20,TUN
05/01/2016 07:35,TUN
05/01/2016 07:40,TUN
05/01/2016 07:50,TUN
05/01/2016 07:55,TUN
05/01/2016 08:00,DJE
05/01/2016 08:00,MIR
05/01/2016 08:00,ORY
05/01/2016 08:00,TUN
05/01/2016 08:00,TUN
05/01/2016 10:00,AMS
05/01/2016 10:00,DJE
05/01/2016 10:05,FCO
05/01/2016 10:15,GVA
05/01/2016 10:15,NCE
05/01/2016 10:20,MRS
05/01/2016 10:30,FRA
05/01/2016 10:55,BEG
05/01/2016 10:55,ORY
05/01/2016 11:00,CAI
05/01/2016 11:35,BRU
05/01/2016 11:35,TUN
05/01/2016 11:40,TUN
05/01/2016 12:15,TUN
05/01/2016 12:30,TUN
05/01/2016 12:45,TUN
05/01/2016 13:40,TUN
05/01/2016 13:45,TUN
05/01/2016 14:00,TUN
05/01/2016 14:30,TUN
05/01/2016 14:30,ZRH
05/01/2016 14:55,ORY
05/01/2016 15:05,LYS
05/01/2016 15:05,MXP
05/01/2016 15:10,TUN
05/01/2016 15:25,GAF
05/01/2016 15:25,GAF
05/01/2016 15:30,DJE
05/01/2016 16:00,TUN
05/01/2016 16:20,TOE
05/01/2016 16:45,VIE
05/01/2016 16:50,LHR
05/01/2016 17:00,ALG
05/01/2016 17:15,TUN
05/01/2016 17:25,TUN
05/01/2016 18:30,ORY
05/01/2016 18:30,TUN
05/01/2016 18:30,TUN
05/01/2016 19:00,DJE
05/01/2016 20:00,TUN
05/01/2016 20:10,IST
05/01/2016 20:15,TUN
05/01/2016 21:00,MIR
05/01/2016 21:00,TUN
05/01/2016 21:00,TUN
05/01/2016 22:00,TUN
05/01/2016 22:00,TUN
05/01/2016 22:15,TUN
05/01/2016 23:40,OUA
06/01/2016 00:55,JED
06/01/2016 01:55,ABJ
06/01/2016 04:43,TUN
06/01/2016 06:05,DJE
06/01/2016 06:15,TUN
06/01/2016 07:05,TUN
06/01/2016 07:10,TUN
06/01/2016 07:15,TUN
06/01/2016 07:20,TUN
06/01/2016 07:30,TUN
06/01/2016 07:35,TUN
06/01/2016 07:40,TUN
06/01/2016 07:45,TUN
06/01/2016 07:45,TUN
06/01/2016 07:55,TUN
06/01/2016 08:00,DJE
06/01/2016 08:00,ORY
06/01/2016 08:00,TUN
06/01/2016 08:00,TUN
06/01/2016 08:15,TUN
06/01/2016 08:20,TUN
06/01/2016 09:00,TUN
06/01/2016 09:45,TUN
06/01/2016 09:50,BCN
06/01/2016 09:50,ORY
06/01/2016 10:00,VCE
06/01/2016 10:05,FCO
06/01/2016 10:10,MAD
06/01/2016 10:15,NCE
06/01/2016 10:20,MRS
06/01/2016 10:30,FRA
06/01/2016 10:50,LYS
06/01/2016 10:50,MUC
06/01/2016 10:55,ORY
06/01/2016 10:55,TLS
06/01/2016 11:35,BRU
06/01/2016 11:35,TUN
06/01/2016 11:45,MLA
06/01/2016 11:55,DUS
06/01/2016 12:30,TUN
06/01/2016 13:45,TUN
06/01/2016 14:00,TUN
06/01/2016 14:30,TUN
06/01/2016 15:05,MXP
06/01/2016 15:10,TUN
06/01/2016 15:30,DJE
06/01/2016 15:30,GAE
06/01/2016 15:30,GAE
06/01/2016 16:00,TUN
06/01/2016 16:45,TOE
06/01/2016 17:00,ALG
06/01/2016 17:15,TUN
06/01/2016 18:30,TUN
06/01/2016 19:00,DJE
06/01/2016 19:40,TUN
06/01/2016 20:00,TUN
06/01/2016 20:00,TUN
06/01/2016 20:10,IST
06/01/2016 21:00,DJE
06/01/2016 21:00,TUN
06/01/2016 22:00,TUN
06/01/2016 22:00,TUN
06/01/2016 22:00,TUN
06/01/2016 22:00,TUN
07/01/2016 00:55,JED
07/01/2016 01:25,MED
07/01/2016 05:45,TUN
07/01/2016 06:55,TUN
07/01/2016 07:00,DJE
07/01/2016 07:00,MIR
07/01/2016 07:00,SFA
07/01/2016 07:00,TUN
07/01/2016 07:05,TUN
07/01/2016 07:10,TUN
07/01/2016 07:35,TUN
07/01/2016 07:40,TUN
07/01/2016 07:40,TUN
07/01/2016 07:50,TUN
07/01/2016 07:55,TUN
07/01/2016 08:00,DJE
07/01/2016 08:00,ORY
07/01/2016 08:00,TUN
07/01/2016 08:00,TUN
07/01/2016 08:15,TUN
07/01/2016 09:55,LYS
07/01/2016 10:05,FCO
07/01/2016 10:15,NCE
07/01/2016 10:20,MRS
07/01/2016 10:30,CMN
07/01/2016 10:30,FRA
07/01/2016 10:35,ORY
07/01/2016 10:45,ALG
07/01/2016 10:45,LGW
07/01/2016 10:55,ORY
07/01/2016 11:00,CAI
07/01/2016 11:35,BRU
07/01/2016 11:35,TUN
07/01/2016 12:15,TUN
07/01/2016 12:30,TUN
07/01/2016 12:40,TUN
07/01/2016 12:50,TUN
07/01/2016 13:20,MIR
07/01/2016 13:40,MIR
07/01/2016 13:40,TUN
07/01/2016 13:40,TUN
07/01/2016 13:40,TUN
07/01/2016 13:45,TUN
07/01/2016 14:00,TUN
07/01/2016 14:05,DJE
07/01/2016 14:30,TUN
07/01/2016 14:55,ORY
07/01/2016 15:00,DJE
07/01/2016 15:05,LYS
07/01/2016 15:05,MXP
07/01/2016 15:10,TUN
07/01/2016 15:25,GAF
07/01/2016 15:25,GAF
07/01/2016 15:25,GVA
07/01/2016 15:30,DJE
07/01/2016 15:45,NCE
07/01/2016 16:00,NTE
07/01/2016 16:00,TUN
07/01/2016 16:05,FCO
07/01/2016 16:20,TLS
07/01/2016 16:30,GAE
07/01/2016 16:30,MIR
07/01/2016 16:45,VIE
07/01/2016 17:00,ALG
07/01/2016 17:05,ORY
07/01/2016 17:15,LYS
07/01/2016 17:15,TUN
07/01/2016 18:15,TUN
07/01/2016 18:30,ORY
07/01/2016 18:30,TUN
07/01/2016 18:30,TUN
07/01/2016 18:30,TUN
07/01/2016 19:00,DJE
07/01/2016 19:00,TUN
07/01/2016 19:05,MRS
07/01/2016 19:40,TUN
07/01/2016 19:50,TOE
07/01/2016 20:00,TUN
07/01/2016 20:10,IST
07/01/2016 21:00,TUN
07/01/2016 21:35,MIR
07/01/2016 22:00,TUN
07/01/2016 23:40,OUA
08/01/2016 00:15,NKC
08/01/2016 00:55,JED
08/01/2016 01:15,BKO
08/01/2016 01:20,DKR
08/01/2016 01:55,ABJ
08/01/2016 06:15,TUN
08/01/2016 06:55,TUN
08/01/2016 07:00,MIR
08/01/2016 07:05,TUN
08/01/2016 07:10,TUN
08/01/2016 07:24,TUN
08/01/2016 07:30,TUN
08/01/2016 07:35,TUN
08/01/2016 07:35,TUN
08/01/2016 07:40,TUN
08/01/2016 07:45,TUN
08/01/2016 07:55,TUN
08/01/2016 08:00,DJE
08/01/2016 08:00,ORY
08/01/2016 08:00,TUN
08/01/2016 08:20,TUN
08/01/2016 09:10,TUN
08/01/2016 09:30,NCE
08/01/2016 09:30,TUN
08/01/2016 09:45,TUN
08/01/2016 10:05,FCO
08/01/2016 10:05,TUN
08/01/2016 10:10,MAD
08/01/2016 10:15,MXP
08/01/2016 10:15,NCE
08/01/2016 10:15,TLS
08/01/2016 10:20,MRS
08/01/2016 10:30,CMN
08/01/2016 10:30,FRA
08/01/2016 10:55,ORY
08/01/2016 11:35,BLQ
08/01/2016 11:35,BRU
08/01/2016 11:55,DUS
08/01/2016 12:15,NAP
08/01/2016 12:15,TUN
08/01/2016 12:20,TUN
08/01/2016 12:30,TUN
08/01/2016 12:30,TUN
08/01/2016 12:40,TUN
08/01/2016 13:00,TUN
08/01/2016 13:10,TUN
08/01/2016 13:20,TUN
08/01/2016 13:25,ORY
08/01/2016 13:35,BEY
08/01/2016 13:35,DJE
08/01/2016 13:40,DJE
08/01/2016 13:40,MIR
08/01/2016 13:45,TUN
08/01/2016 14:05,TUN
08/01/2016 14:05,TUN
08/01/2016 14:30,MLA
08/01/2016 14:30,TUN
08/01/2016 14:30,TUN
08/01/2016 15:05,LYS
08/01/2016 15:05,MXP
08/01/2016 15:25,GVA
08/01/2016 15:30,DJE
08/01/2016 15:30,NCE
08/01/2016 15:35,VCE
08/01/2016 15:40,ORY
08/01/2016 15:55,MUC
08/01/2016 16:00,TUN
08/01/2016 16:20,BOD
08/01/2016 16:35,MRS
08/01/2016 16:40,BCN
08/01/2016 16:55,ORY
08/01/2016 17:00,ALG
08/01/2016 17:10,SXB
08/01/2016 17:15,ORY
08/01/2016 17:15,TUN
08/01/2016 18:30,ORY
08/01/2016 18:30,SXB
08/01/2016 18:30,TUN
08/01/2016 19:00,DJE
08/01/2016 20:00,TUN
08/01/2016 20:00,TUN
08/01/2016 20:10,IST
08/01/2016 22:00,TUN
09/01/2016 00:55,JED
09/01/2016 01:25,MED
09/01/2016 02:15,TUN
09/01/2016 04:00,DJE
09/01/2016 04:10,TUN
09/01/2016 04:15,TUN
09/01/2016 04:20,DJE
09/01/2016 04:25,TOE
09/01/2016 04:35,TUN
09/01/2016 04:40,DJE
09/01/2016 05:00,TUN
09/01/2016 05:30,MIR
09/01/2016 05:50,DJE
09/01/2016 06:00,MIR
09/01/2016 06:00,NBE
09/01/2016 06:15,NBE
09/01/2016 06:15,TUN
09/01/2016 06:20,NBE
09/01/2016 06:30,DJE
09/01/2016 06:55,TUN
09/01/2016 07:00,MIR
09/01/2016 07:25,TUN
09/01/2016 07:30,TUN
09/01/2016 07:35,DJE
09/01/2016 07:35,GVA
09/01/2016 07:35,TUN
09/01/2016 07:40,TUN
09/01/2016 07:45,TUN
09/01/2016 07:55,TUN
09/01/2016 08:00,DJE
09/01/2016 08:00,IST
09/01/2016 08:00,ORY
09/01/2016 08:00,TUN
09/01/2016 08:15,TUN
09/01/2016 08:50,LYS
09/01/2016 09:05,BRU
09/01/2016 09:20,MUC
09/01/2016 09:40,MRS
09/01/2016 09:55,DUS
09/01/2016 10:05,FCO
09/01/2016 10:05,TUN
09/01/2016 10:15,NCE
09/01/2016 10:20,DUS
09/01/2016 10:20,GVA
09/01/2016 10:20,MRS
09/01/2016 10:30,CMN
09/01/2016 10:30,FRA
09/01/2016 10:30,ZRH
09/01/2016 10:45,ALG
09/01/2016 10:55,ORY
09/01/2016 11:35,BRU
09/01/2016 11:40,HAM
09/01/2016 12:10,MIR
09/01/2016 12:15,TUN
09/01/2016 12:20,TUN
09/01/2016 12:25,NBE
09/01/2016 12:30,TUN
09/01/2016 12:40,MIR
09/01/2016 12:45,TUN
09/01/2016 13:15,TUN
09/01/2016 13:25,ORY
09/01/2016 13:25,TUN
09/01/2016 13:35,DJE
09/01/2016 13:40,TUN
09/01/2016 13:45,TUN
09/01/2016 13:50,NBE
09/01/2016 14:00,DJE
09/01/2016 14:00,TUN
09/01/2016 14:15,DJE
09/01/2016 14:30,TUN
09/01/2016 14:30,TUN
09/01/2016 14:40,NCE
09/01/2016 14:55,LYS
09/01/2016 15:05,MXP
09/01/2016 15:30,DJE
09/01/2016 15:35,NBE
09/01/2016 15:35,TUN
09/01/2016 15:40,ORY
09/01/2016 15:45,DJE
09/01/2016 15:50,MRS
09/01/2016 16:00,TUN
09/01/2016 16:25,TLS
09/01/2016 16:50,LHR
09/01/2016 17:00,ALG
09/01/2016 17:15,FRA
09/01/2016 17:15,ORY
09/01/2016 17:15,TUN
09/01/2016 17:40,NBE
09/01/2016 17:55,CAI
09/01/2016 18:00,FRA
09/01/2016 18:00,MRS
09/01/2016 18:30,ORY
09/01/2016 18:30,TUN
09/01/2016 19:00,DJE
09/01/2016 19:20,SXF
09/01/2016 20:00,TUN
09/01/2016 20:10,IST
09/01/2016 20:30,NBE
09/01/2016 21:40,DJE
09/01/2016 23:00,NBE
10/01/2016 00:55,JED
10/01/2016 06:15,TUN
10/01/2016 06:55,TUN
10/01/2016 07:05,TUN
10/01/2016 07:15,TUN
10/01/2016 07:30,TUN
10/01/2016 07:35,TUN
10/01/2016 07:35,TUN
10/01/2016 07:40,TUN
10/01/2016 07:45,TUN
10/01/2016 07:55,TUN
10/01/2016 08:00,DJE
10/01/2016 08:00,ORY
10/01/2016 08:00,TUN
10/01/2016 08:00,TUN
10/01/2016 08:10,MIR
10/01/2016 08:15,DJE
10/01/2016 08:15,TUN
10/01/2016 09:45,TUN
10/01/2016 10:05,FCO
10/01/2016 10:05,TUN
10/01/2016 10:15,NCE
10/01/2016 10:20,MRS
10/01/2016 10:30,CMN
10/01/2016 10:30,FRA
10/01/2016 10:30,NTE
10/01/2016 10:40,VIE
10/01/2016 10:45,ALG
10/01/2016 10:50,LYS
10/01/2016 10:55,ORY
10/01/2016 11:00,NCE
10/01/2016 11:30,ORY
10/01/2016 11:35,BEY
10/01/2016 11:35,BRU
10/01/2016 11:45,MLA
10/01/2016 12:20,TUN
10/01/2016 12:30,TUN
10/01/2016 12:40,TUN
10/01/2016 12:45,TUN
10/01/2016 13:00,TUN
10/01/2016 13:00,TUN
10/01/2016 13:10,TUN
10/01/2016 13:25,ORY
10/01/2016 13:35,DJE
10/01/2016 13:40,TUN
10/01/2016 13:40,TUN
10/01/2016 13:45,TUN
10/01/2016 14:00,DJE
10/01/2016 14:05,DJE
10/01/2016 14:05,TUN
10/01/2016 14:05,TUN
10/01/2016 14:10,DJE
10/01/2016 14:10,TUN
10/01/2016 14:15,TUN
10/01/2016 14:30,TUN
10/01/2016 15:05,MXP
10/01/2016 15:10,TUN
10/01/2016 15:25,BLQ
10/01/2016 15:25,GVA
10/01/2016 15:30,DJE
10/01/2016 15:30,NCE
10/01/2016 15:35,VCE
10/01/2016 16:00,ORY
10/01/2016 16:00,TUN
10/01/2016 16:05,FCO
10/01/2016 16:20,TLS
10/01/2016 16:35,MRS
10/01/2016 16:40,BCN
10/01/2016 16:45,MRS
10/01/2016 16:50,LHR
10/01/2016 17:00,ALG
10/01/2016 17:15,LYS
10/01/2016 17:15,ORY
10/01/2016 17:15,TUN
10/01/2016 17:25,MAD
10/01/2016 17:45,CMN
10/01/2016 17:50,NTE
10/01/2016 18:30,ORY
10/01/2016 18:30,TUN
10/01/2016 18:30,TUN
10/01/2016 18:30,TUN
10/01/2016 19:00,DJE
10/01/2016 19:00,TUN
10/01/2016 19:35,DJE
10/01/2016 19:40,TUN
10/01/2016 20:00,TUN
10/01/2016 20:10,IST
10/01/2016 21:20,DJE
10/01/2016 23:40,OUA
11/01/2016 00:15,NKC
11/01/2016 00:55,JED
11/01/2016 01:15,BKO
11/01/2016 01:20,DKR
11/01/2016 01:55,ABJ
11/01/2016 04:10,TUN
11/01/2016 06:15,TUN
11/01/2016 06:55,TUN
11/01/2016 07:00,DJE
11/01/2016 07:00,MIR
11/01/2016 07:05,TUN
11/01/2016 07:05,TUN
11/01/2016 07:15,TUN
11/01/2016 07:15,TUN
11/01/2016 07:20,TUN
11/01/2016 07:30,TUN
11/01/2016 07:35,TUN
11/01/2016 07:35,TUN
11/01/2016 07:40,TUN
11/01/2016 07:45,TUN
11/01/2016 07:45,TUN
11/01/2016 07:55,TUN
11/01/2016 07:58,TUN
11/01/2016 08:00,DJE
11/01/2016 08:00,IST
11/01/2016 08:00,ORY
11/01/2016 08:00,TUN
11/01/2016 08:15,TUN
11/01/2016 08:20,TUN
11/01/2016 08:25,TUN
11/01/2016 08:30,MIR
11/01/2016 09:45,NAP
11/01/2016 09:50,BCN
11/01/2016 10:00,VCE
11/01/2016 10:05,FCO
11/01/2016 10:15,GVA
11/01/2016 10:15,MXP
11/01/2016 10:15,NCE
11/01/2016 10:20,MRS
11/01/2016 10:30,CMN
11/01/2016 10:30,FRA
11/01/2016 10:40,LGW
11/01/2016 10:50,MUC
11/01/2016 10:55,ORY
11/01/2016 10:55,TLS
11/01/2016 11:05,LYS
11/01/2016 11:35,BRU
11/01/2016 11:35,TUN
11/01/2016 11:45,ORY
11/01/2016 11:55,DUS
11/01/2016 12:30,TUN
11/01/2016 13:00,TUN
11/01/2016 13:15,TUN
11/01/2016 13:20,MIR
11/01/2016 13:45,TUN
11/01/2016 13:45,TUN
11/01/2016 14:00,TUN
11/01/2016 14:15,TUN
11/01/2016 14:30,TUN
11/01/2016 14:30,TUN
11/01/2016 14:55,ORY
11/01/2016 15:05,MIR
11/01/2016 15:05,MXP
11/01/2016 15:10,TUN
11/01/2016 15:20,TUN
11/01/2016 15:25,BLQ
11/01/2016 15:30,DJE
11/01/2016 15:35,TUN
11/01/2016 15:50,MRS
11/01/2016 15:55,NCE
11/01/2016 16:00,TUN
11/01/2016 17:00,ALG
11/01/2016 17:00,BOD
11/01/2016 17:15,TUN
11/01/2016 18:00,LIS
11/01/2016 18:00,MRS
11/01/2016 18:30,ORY
11/01/2016 18:30,SXB
11/01/2016 18:30,TUN
11/01/2016 19:00,DJE
11/01/2016 19:40,TUN
